candidate_id,split,group,rows,mae,spearman,startable_precision_at_n,startable_recall_at_n,startable_f1_at_n,mae_delta_vs_baseline,mae_delta_vs_original,spearman_delta_vs_baseline,spearman_delta_vs_original,startable_precision_delta_vs_baseline,startable_precision_delta_vs_original,position,group_type
baseline_v3_prior_points,holdout,group,126,60.367196,0.662284,0.541667,0.590909,0.565217,0.0,1.720185,0.0,0.001128,0.0,0.0,QB,position
original_usage_opportunity_volume,holdout,group,126,58.647011,0.661156,0.541667,0.590909,0.565217,-1.720185,0.0,-0.001128,0.0,0.0,0.0,QB,position
conservative_blend_50,holdout,group,126,57.197672,0.66379,0.541667,0.590909,0.565217,-3.169524,-1.449339,0.001506,0.002634,0.0,0.0,QB,position
qb_guard_baseline_lock,holdout,group,126,60.472778,0.6613,0.541667,0.590909,0.565217,0.105582,1.825767,-0.000984,0.000144,0.0,0.0,QB,position
qb_guard_soft_blend,holdout,group,126,58.681164,0.661,0.541667,0.590909,0.565217,-1.686032,0.034153,-0.001284,-0.000156,0.0,0.0,QB,position
cutline_guard_soft_blend,holdout,group,126,60.266508,0.653159,0.375,0.409091,0.391304,-0.100688,1.619497,-0.009125,-0.007997,-0.166667,-0.166667,QB,position
position_specific_safe_blend,holdout,group,126,57.820694,0.663676,0.541667,0.590909,0.565217,-2.546502,-0.826317,0.001392,0.00252,0.0,0.0,QB,position
baseline_v3_prior_points,holdout,group,214,41.650467,0.729558,0.604167,0.674419,0.637363,0.0,0.590015,0.0,-0.002148,0.0,-0.020833,RB,position
original_usage_opportunity_volume,holdout,group,214,41.060452,0.731706,0.625,0.697674,0.659341,-0.590015,0.0,0.002148,0.0,0.020833,0.0,RB,position
conservative_blend_50,holdout,group,214,41.223886,0.731789,0.604167,0.674419,0.637363,-0.426581,0.163434,0.002231,8.3e-05,0.0,-0.020833,RB,position
qb_guard_baseline_lock,holdout,group,214,41.060452,0.731706,0.625,0.697674,0.659341,-0.590015,0.0,0.002148,0.0,0.020833,0.0,RB,position
qb_guard_soft_blend,holdout,group,214,41.060452,0.731706,0.625,0.697674,0.659341,-0.590015,0.0,0.002148,0.0,0.020833,0.0,RB,position
cutline_guard_soft_blend,holdout,group,214,40.955029,0.732941,0.604167,0.674419,0.637363,-0.695438,-0.105423,0.003383,0.001235,0.0,-0.020833,RB,position
position_specific_safe_blend,holdout,group,214,41.060452,0.731706,0.625,0.697674,0.659341,-0.590015,0.0,0.002148,0.0,0.020833,0.0,RB,position
baseline_v3_prior_points,holdout,group,203,20.284401,0.74331,0.375,0.45,0.409091,0.0,1.073498,0.0,-0.005329,0.0,0.0,TE,position
