candidate_id,split,position,bucket,n_per_season,candidate_predicted_count,actual_bucket_count,true_positive_count,precision,recall,f1
baseline_v3_prior_points,train,QB,QB_TOP12,12,108,104,61,0.564815,0.586538,0.575472
baseline_v3_prior_points,train,RB,RB_TOP12,12,108,94,41,0.37963,0.43617,0.405941
baseline_v3_prior_points,train,RB,RB_TOP24,24,216,183,106,0.490741,0.579235,0.531328
baseline_v3_prior_points,train,WR,WR_TOP12,12,108,101,48,0.444444,0.475248,0.45933
baseline_v3_prior_points,train,WR,WR_TOP24,24,216,194,113,0.523148,0.582474,0.55122
baseline_v3_prior_points,train,WR,WR_TOP36,36,324,291,183,0.564815,0.628866,0.595122
baseline_v3_prior_points,train,TE,TE_TOP12,12,108,100,52,0.481481,0.52,0.5
usage_opportunity_volume,train,QB,QB_TOP12,12,108,104,60,0.555556,0.576923,0.566038
usage_opportunity_volume,train,RB,RB_TOP12,12,108,94,41,0.37963,0.43617,0.405941
usage_opportunity_volume,train,RB,RB_TOP24,24,216,183,103,0.476852,0.562842,0.516291
usage_opportunity_volume,train,WR,WR_TOP12,12,108,101,44,0.407407,0.435644,0.421053
usage_opportunity_volume,train,WR,WR_TOP24,24,216,194,114,0.527778,0.587629,0.556098
usage_opportunity_volume,train,WR,WR_TOP36,36,324,291,184,0.567901,0.632302,0.598374
usage_opportunity_volume,train,TE,TE_TOP12,12,108,100,53,0.490741,0.53,0.509615
baseline_v3_prior_points,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191
baseline_v3_prior_points,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391
baseline_v3_prior_points,validation,RB,RB_TOP24,24,48,43,27,0.5625,0.627907,0.593407
baseline_v3_prior_points,validation,WR,WR_TOP12,12,24,23,10,0.416667,0.434783,0.425532
baseline_v3_prior_points,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667
baseline_v3_prior_points,validation,WR,WR_TOP36,36,72,61,47,0.652778,0.770492,0.706767
baseline_v3_prior_points,validation,TE,TE_TOP12,12,24,23,14,0.583333,0.608696,0.595745
usage_opportunity_volume,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191
usage_opportunity_volume,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391
usage_opportunity_volume,validation,RB,RB_TOP24,24,48,43,26,0.541667,0.604651,0.571429
usage_opportunity_volume,validation,WR,WR_TOP12,12,24,23,9,0.375,0.391304,0.382979
usage_opportunity_volume,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667
usage_opportunity_volume,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805
usage_opportunity_volume,validation,TE,TE_TOP12,12,24,23,14,0.583333,0.608696,0.595745
baseline_v3_prior_points,holdout,QB,QB_TOP12,12,24,22,13,0.541667,0.590909,0.565217
baseline_v3_prior_points,holdout,RB,RB_TOP12,12,24,23,13,0.541667,0.565217,0.553191
baseline_v3_prior_points,holdout,RB,RB_TOP24,24,48,43,29,0.604167,0.674419,0.637363
baseline_v3_prior_points,holdout,WR,WR_TOP12,12,24,20,6,0.25,0.3,0.272727
baseline_v3_prior_points,holdout,WR,WR_TOP24,24,48,43,23,0.479167,0.534884,0.505495
baseline_v3_prior_points,holdout,WR,WR_TOP36,36,72,64,43,0.597222,0.671875,0.632353
baseline_v3_prior_points,holdout,TE,TE_TOP12,12,24,20,9,0.375,0.45,0.409091
usage_opportunity_volume,holdout,QB,QB_TOP12,12,24,22,13,0.541667,0.590909,0.565217
usage_opportunity_volume,holdout,RB,RB_TOP12,12,24,23,12,0.5,0.521739,0.510638
usage_opportunity_volume,holdout,RB,RB_TOP24,24,48,43,30,0.625,0.697674,0.659341
usage_opportunity_volume,holdout,WR,WR_TOP12,12,24,20,7,0.291667,0.35,0.318182
usage_opportunity_volume,holdout,WR,WR_TOP24,24,48,43,22,0.458333,0.511628,0.483516
usage_opportunity_volume,holdout,WR,WR_TOP36,36,72,64,42,0.583333,0.65625,0.617647
usage_opportunity_volume,holdout,TE,TE_TOP12,12,24,20,9,0.375,0.45,0.409091
