candidate_id,split,group,rows,mae,spearman,startable_precision_at_n,startable_recall_at_n,startable_f1_at_n,mae_delta_vs_baseline,mae_delta_vs_original,mae_delta_vs_qb_guard,mae_delta_vs_rb_wr_cutline_safe,mae_delta_vs_conservative_blend_50,spearman_delta_vs_baseline,spearman_delta_vs_qb_guard,spearman_delta_vs_rb_wr_cutline_safe,startable_precision_delta_vs_baseline,startable_precision_delta_vs_qb_guard,startable_precision_delta_vs_rb_wr_cutline_safe,target_season,group_type
baseline_v3_prior_points,holdout,group,438,37.316667,0.705071,0.559524,0.635135,0.594937,0.0,1.609958,1.865867,1.354088,1.233621,0.0,-0.000847,-0.001787,0.0,-0.011905,0.0,2024,season
original_usage_opportunity_volume,holdout,group,438,35.706709,0.705739,0.571429,0.648649,0.607595,-1.609958,0.0,0.255909,-0.25587,-0.376337,0.000668,-0.000179,-0.001119,0.011905,0.0,0.011905,2024,season
qb_guard_soft_blend,holdout,group,438,35.4508,0.705918,0.571429,0.648649,0.607595,-1.865867,-0.255909,0.0,-0.511779,-0.632246,0.000847,0.0,-0.00094,0.011905,0.0,0.011905,2024,season
rb_wr_cutline_safe_blend,holdout,group,438,35.962579,0.706858,0.559524,0.635135,0.594937,-1.354088,0.25587,0.511779,0.0,-0.120467,0.001787,0.00094,0.0,0.0,-0.011905,0.0,2024,season
conservative_blend_50,holdout,group,438,36.083046,0.706341,0.559524,0.635135,0.594937,-1.233621,0.376337,0.632246,0.120467,0.0,0.00127,0.000423,-0.000517,0.0,-0.011905,0.0,2024,season
current_best_rb_wr_cutline_safe_blend,holdout,group,438,35.962579,0.706858,0.559524,0.635135,0.594937,-1.354088,0.25587,0.511779,0.0,-0.120467,0.001787,0.00094,0.0,0.0,-0.011905,0.0,2024,season
premium_cutline_floor_v1,holdout,group,438,36.116985,0.706952,0.547619,0.621622,0.582278,-1.199682,0.410276,0.666185,0.154406,0.033939,0.001881,0.001034,9.4e-05,-0.011905,-0.02381,-0.011905,2024,season
premium_cutline_floor_v2_tighter,holdout,group,438,36.116985,0.706952,0.547619,0.621622,0.582278,-1.199682,0.410276,0.666185,0.154406,0.033939,0.001881,0.001034,9.4e-05,-0.011905,-0.02381,-0.011905,2024,season
high_prior_volume_boundary_guard,holdout,group,438,35.942767,0.706869,0.559524,0.635135,0.594937,-1.3739,0.236058,0.491967,-0.019812,-0.140279,0.001798,0.000951,1.1e-05,0.0,-0.011905,0.0,2024,season
wr_boundary_breakout_sensitivity_guard,holdout,group,438,35.948267,0.706872,0.559524,0.635135,0.594937,-1.3684,0.241558,0.497467,-0.014312,-0.134779,0.001801,0.000954,1.4e-05,0.0,-0.011905,0.0,2024,season
