model_id,split,target_seasons,position,sample_size,mae_points,rmse_points,spearman_points,top_n_label,top_n,top_n_hit_rate
v0_baseline_reference,validation,2023;2024,QB,126,64.55584840286825,83.02894878498998,0.5891872353770937,qb_t12,12,0.4583333333333333
v0_baseline_reference,validation,2023;2024,RB,223,44.90859301495731,60.28802805080279,0.6696262729809334,rb_t24,24,0.5833333333333334
v0_baseline_reference,validation,2023;2024,TE,192,20.79831440501415,29.87766675195368,0.7216955757470885,te_t12,12,0.4583333333333333
v0_baseline_reference,validation,2023;2024,WR,337,29.176440510957732,38.28505450595933,0.7458616276625916,wr_t36,36,0.625
v0_baseline_reference,holdout,2025,QB,63,57.25097042884758,77.46039980299427,0.7281586021505376,qb_t12,12,0.5
v0_baseline_reference,holdout,2025,RB,106,41.73110527713536,57.100887318443924,0.7481490998061369,rb_t24,24,0.625
v0_baseline_reference,holdout,2025,TE,107,18.22836933844432,27.704105721360268,0.7588306649198926,te_t12,12,0.5
v0_baseline_reference,holdout,2025,WR,176,28.476810432055665,38.639469209930965,0.7090535185814434,wr_t36,36,0.5555555555555556
v0_baseline_reference,eval_all,2021;2022;2023;2024;2025,QB,317,59.51518858012669,77.17797957209663,0.6754390706846382,qb_t12,12,0.5166666666666667
v0_baseline_reference,eval_all,2021;2022;2023;2024;2025,RB,570,43.87062796163723,58.266753884902094,0.669452281477377,rb_t24,24,0.575
v0_baseline_reference,eval_all,2021;2022;2023;2024;2025,TE,495,21.753861429090872,45.44049844801755,0.7358994845959649,te_t12,12,0.5
v0_baseline_reference,eval_all,2021;2022;2023;2024;2025,WR,886,30.495412536797442,40.63257430597288,0.6979613196343666,wr_t36,36,0.5944444444444444
v1_baseline,validation,2023;2024,QB,126,62.663773764977854,82.30332252718637,0.5913379697613996,qb_t12,12,0.5
v1_baseline,validation,2023;2024,RB,223,44.440984751156,60.909293911845815,0.6775392347462996,rb_t24,24,0.6041666666666666
v1_baseline,validation,2023;2024,TE,192,19.547193807927194,26.089063470064175,0.7274346330943808,te_t12,12,0.4583333333333333
v1_baseline,validation,2023;2024,WR,337,28.833180075878925,37.776853935943116,0.7507877518744251,wr_t36,36,0.6527777777777778
v1_baseline,holdout,2025,QB,63,58.539543869627934,78.92317440843637,0.7169258832565284,qb_t12,12,0.5833333333333334
v1_baseline,holdout,2025,RB,106,41.010572299275395,56.57907395076701,0.7486126120703201,rb_t24,24,0.625
v1_baseline,holdout,2025,TE,107,17.45598151407193,23.846034898283673,0.7544119662603676,te_t12,12,0.5
v1_baseline,holdout,2025,WR,176,28.29080773881429,38.12544494268044,0.7124290729423791,wr_t36,36,0.5555555555555556
