scoreboard_type,lane,candidate_id,base_formula,ingredient_set,row_count,seasons,spearman,pyf_same_row,formula_alone_same_row,delta_vs_pyf,delta_vs_0755,delta_vs_snap_depth_0763,full_history_comparable,broad_window_comparable,partial_window_only,use_decision,caveats
full_history,nflverse snap/depth role,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,prior_decline_small_late_guard_three,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.758,0.741,0.755,0.017,0.003,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,GAUNTLET_082_DECLINE_SMALL_HIGH_VOLUME_LATE_GUARD__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,prior_decline_small_high_volume_late_guard,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.758,0.742,0.755,0.016,0.003,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,prior_decline_decline_combo_guard,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.758,0.741,0.755,0.017,0.003,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,REFINE_007_OVERALL_THREE_65_25_10_LATE_20__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,overall_three_65_25_10_late_20,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.758,0.741,0.755,0.017,0.003,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT050,prior_decline_small_late_guard_three,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.757,0.742,0.755,0.015,0.002,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,GAUNTLET_082_DECLINE_SMALL_HIGH_VOLUME_LATE_GUARD__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT050,prior_decline_small_high_volume_late_guard,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.757,0.742,0.755,0.015,0.002,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT050,prior_decline_decline_combo_guard,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.757,0.741,0.755,0.016,0.002,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,REFINE_007_OVERALL_THREE_65_25_10_LATE_20__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT050,overall_three_65_25_10_late_20,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.757,0.742,0.755,0.015,0.002,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,point-in-time injury availability,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_AVAIL_CAVEAT_INVERSE_PCT100,prior_decline_small_late_guard_three,point_in_time_injury_availability,5490,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.757,0.741,0.755,0.016,0.002,-0.006,true,false,false,ADDITIVE_CANDIDATE,availability context only; not injury prediction
full_history,point-in-time injury availability,GAUNTLET_082_DECLINE_SMALL_HIGH_VOLUME_LATE_GUARD__PLUS_AVAIL_CAVEAT_INVERSE_PCT100,prior_decline_small_high_volume_late_guard,point_in_time_injury_availability,5490,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.757,0.741,0.755,0.016,0.002,-0.006,true,false,false,ADDITIVE_CANDIDATE,availability context only; not injury prediction
full_history,nflverse snap/depth role,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT025,prior_decline_small_late_guard_three,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.756,0.742,0.755,0.014,0.001,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,GAUNTLET_082_DECLINE_SMALL_HIGH_VOLUME_LATE_GUARD__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT025,prior_decline_small_high_volume_late_guard,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.756,0.742,0.755,0.014,0.001,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_SNAPDEPTH_DEPTH_ROLE_PCT100,prior_decline_decline_combo_guard,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.756,0.742,0.755,0.014,0.001,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
full_history,nflverse snap/depth role,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT025,prior_decline_decline_combo_guard,nflverse_snap_depth_role,5518,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,0.756,0.742,0.755,0.014,0.001,,true,false,false,ADDITIVE_CANDIDATE,"best lift is broad-window 2014-2025, not full 2013-2025"
