model,slice,folds,rows,spearman,rank_mae,brier,log_loss,ece,top_n_precision,top_n_recall,coverage,status
S0,ALL,9,615,0.454040,5.279675,0.050125,0.210963,0.081987,0.957655,0.998302,0.767790,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,draft_year=2015,1,60,0.300250,5.400000,0.100578,0.339678,0.103040,0.900000,1.000000,0.074906,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,draft_year=2016,1,56,0.449734,5.321429,0.057337,0.240609,0.170256,0.981818,0.981818,0.069913,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,draft_year=2017,1,65,0.397334,5.907692,0.060517,0.248876,0.103918,0.953846,1.000000,0.081149,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,draft_year=2018,1,71,0.494806,4.647887,0.062215,0.255232,0.079274,0.943662,1.000000,0.088639,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,draft_year=2019,1,71,0.441952,4.985915,0.049650,0.213155,0.070303,0.957746,1.000000,0.088639,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,draft_year=2020,1,74,0.425368,5.405405,0.041994,0.189438,0.061798,0.959459,1.000000,0.092385,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,draft_year=2021,1,69,0.454188,5.927536,0.032914,0.160117,0.076299,0.971014,1.000000,0.086142,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,draft_year=2022,1,73,0.465784,5.452055,0.020804,0.127342,0.087284,0.986301,1.000000,0.091136,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,draft_year=2023,1,76,0.600246,4.605263,0.036951,0.159117,0.039176,0.960526,1.000000,0.094881,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,position=QB,9,81,0.310998,2.691358,0.046745,0.184362,0.040524,0.950617,1.000000,0.101124,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,position=RB,9,171,0.374145,4.807018,0.062388,0.248535,0.073951,0.941520,1.000000,0.213483,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,position=TE,9,113,0.416412,3.256637,0.029742,0.154669,0.090075,0.982301,1.000000,0.141074,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,position=WR,9,250,0.326143,7.356000,0.052046,0.219329,0.098082,0.959839,0.995833,0.312110,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,rookie_games_slice=EIGHT_PLUS_GAMES,9,369,0.394193,3.490515,0.031400,0.157453,0.087715,0.978261,0.997230,0.460674,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S0,rookie_games_slice=LOW_GAMES,9,246,0.346860,2.495935,0.078214,0.291229,0.073395,0.926829,1.000000,0.307116,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,ALL,9,615,0.430196,5.435772,0.052037,0.211323,0.063129,0.962046,0.989813,0.767790,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,draft_year=2015,1,60,0.160545,5.733333,0.108769,0.395748,0.118135,0.944444,0.944444,0.074906,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,draft_year=2016,1,56,0.401887,5.053571,0.053506,0.212638,0.125598,0.981818,0.981818,0.069913,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,draft_year=2017,1,65,0.453322,5.169231,0.057387,0.225510,0.065979,0.953846,1.000000,0.081149,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,draft_year=2018,1,71,0.463116,5.154930,0.063590,0.271931,0.084151,0.943662,1.000000,0.088639,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,draft_year=2019,1,71,0.410563,5.042254,0.051540,0.222536,0.051252,0.957746,1.000000,0.088639,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,draft_year=2020,1,74,0.447938,6.135135,0.042635,0.171067,0.052199,0.959459,1.000000,0.092385,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,draft_year=2021,1,69,0.449182,6.028986,0.028081,0.130754,0.054306,0.971014,1.000000,0.086142,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,draft_year=2022,1,73,0.463501,5.534247,0.033542,0.144443,0.086707,0.985915,0.972222,0.091136,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,draft_year=2023,1,76,0.590731,5.026316,0.039932,0.162112,0.024760,0.960526,1.000000,0.094881,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,position=QB,9,81,0.283424,2.469136,0.050484,0.196478,0.033820,0.950617,1.000000,0.101124,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,position=RB,9,171,0.345794,4.976608,0.062134,0.242904,0.063782,0.946746,0.993789,0.213483,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,position=TE,9,113,0.337406,3.522124,0.033939,0.148393,0.079970,0.981982,0.981982,0.141074,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,position=WR,9,250,0.285500,7.576000,0.053815,0.222976,0.084029,0.967347,0.987500,0.312110,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,rookie_games_slice=EIGHT_PLUS_GAMES,9,369,0.368977,3.701897,0.033216,0.149728,0.074608,0.980822,0.991690,0.460674,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
S1,rookie_games_slice=LOW_GAMES,9,246,0.336259,2.487805,0.080269,0.303715,0.062163,0.933610,0.986842,0.307116,EVALUATED_CHRONOLOGICAL_WALK_FORWARD
