lane,candidate_id,scope_type,scope_value,eligible_rows,scored_rows,coverage,seasons,spearman,spearman_ci_low,spearman_ci_high,rank_mae,ndcg,ndcg_top60,ndcg_primary_aggregate,ndcg_pooled_diagnostic,ndcg_top60_pooled_diagnostic,ndcg_row_weighted_mean,ndcg_median,ndcg_worst_season,ndcg_ci_low,ndcg_ci_high,ndcg_top60_row_weighted_mean,ndcg_top60_median,ndcg_top60_worst_season,ndcg_top60_ci_low,ndcg_top60_ci_high,top12_precision,top12_recall,top24_precision,top24_recall,top60_precision,top60_recall,severe_false_positives,severe_false_negatives,severe_errors,metric_status,review_only
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,OVERALL,ALL,3918,3918,1.000000000,9,0.649216223,0.631780301,0.661142344,79.566615620,0.958629995,0.840916349,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.973073028,0.727853786,0.958708521,0.960253738,0.947212710,0.952983002,0.963807487,0.841238700,0.842862201,0.802103624,0.827649790,0.858187982,0.296296296,0.296296296,0.393518519,0.393518519,0.537037037,0.537037037,31,26,57,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,POSITION,QB,532,532,1.000000000,9,0.680656445,,,10.631578947,0.908792373,0.905334291,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.944883051,0.787118828,0.910391042,0.901688824,0.883807218,0.892432980,0.926812156,0.906677712,0.894634264,0.879552516,0.891318728,0.923398168,0.555555556,0.555555556,0.750000000,0.750000000,0.974757282,0.974757282,0,0,0,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,POSITION,RB,1000,1000,1.000000000,9,0.669253510,,,20.074000000,0.880916910,0.808117439,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.917240800,0.678924767,0.880683470,0.883417027,0.839617239,0.859599991,0.896849316,0.807643577,0.808384919,0.761268441,0.784094584,0.834584800,0.444444444,0.444444444,0.606481481,0.606481481,0.766666667,0.766666667,0,0,0,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,POSITION,WR,1525,1525,1.000000000,9,0.695946337,,,29.516065574,0.913399486,0.820888850,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.938126306,0.715533404,0.913315284,0.907703980,0.870521244,0.899013837,0.925684914,0.820884090,0.816854293,0.768053901,0.799133642,0.841919548,0.416666667,0.416666667,0.574074074,0.574074074,0.698148148,0.698148148,4,1,5,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,POSITION,TE,861,861,1.000000000,9,0.678835502,,,17.056910569,0.911437713,0.867365588,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.940153238,0.780797990,0.911865984,0.912289874,0.864449911,0.899464538,0.921997069,0.867956164,0.867368902,0.822914887,0.846154868,0.887684559,0.481481481,0.481481481,0.652777778,0.652777778,0.812962963,0.812962963,0,0,0,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,SEASON,2017,409,409,1.000000000,1,0.653740270,,,72.122249389,0.947212710,0.814823022,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.947212710,0.814823022,0.947212710,0.947212710,0.947212710,,,0.814823022,0.814823022,0.814823022,,,0.250000000,0.250000000,0.416666667,0.416666667,0.533333333,0.533333333,4,3,7,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,SEASON,2018,401,401,1.000000000,1,0.624897086,,,75.241895262,0.969572860,0.869945635,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.969572860,0.869945635,0.969572860,0.969572860,0.969572860,,,0.869945635,0.869945635,0.869945635,,,0.500000000,0.500000000,0.500000000,0.500000000,0.400000000,0.400000000,2,4,6,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,SEASON,2019,406,406,1.000000000,1,0.626093267,,,75.940886700,0.960253738,0.842862201,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.960253738,0.842862201,0.960253738,0.960253738,0.960253738,,,0.842862201,0.842862201,0.842862201,,,0.166666667,0.166666667,0.375000000,0.375000000,0.566666667,0.566666667,3,3,6,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,SEASON,2020,434,434,1.000000000,1,0.599800798,,,84.161290323,0.949431252,0.802103624,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.949431252,0.802103624,0.949431252,0.949431252,0.949431252,,,0.802103624,0.802103624,0.802103624,,,0.250000000,0.250000000,0.375000000,0.375000000,0.500000000,0.500000000,6,0,6,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,SEASON,2021,466,466,1.000000000,1,0.653947463,,,85.261802575,0.962842427,0.856348674,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.962842427,0.856348674,0.962842427,0.962842427,0.962842427,,,0.856348674,0.856348674,0.856348674,,,0.250000000,0.250000000,0.416666667,0.416666667,0.566666667,0.566666667,3,5,8,SUPPORTED,True
