player_name,position,age,is_rookie,cohort,finished_v1_rank,win_now_rank,dynasty_value_rank,lens_rank_gap_win_minus_dynasty,absolute_lens_rank_gap,availability_predicted,retention_h3_predicted,reason_codes,confidence
Jalen Hurts,QB,28.069000000,False,ESTABLISHED,49.000000000,79.000000000,129.000000000,-50.000000000,50.000000000,0.781441473,0.460926103,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Matthew Stafford,QB,38.566000000,False,ESTABLISHED,91.000000000,90.000000000,140.000000000,-50.000000000,50.000000000,0.869923957,0.307517423,REVIEW_ONLY_SOURCE|PRODUCTIVE_VETERAN_GUARD|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Caleb Williams,QB,24.786000000,False,THIRD_YEAR,51.000000000,83.000000000,132.000000000,-49.000000000,49.000000000,0.812081986,0.444827178,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Bo Nix,QB,26.517000000,False,THIRD_YEAR,62.000000000,78.000000000,125.000000000,-47.000000000,47.000000000,0.817454509,0.438315623,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Jared Goff,QB,31.883000000,False,ESTABLISHED,102.000000000,128.000000000,175.000000000,-47.000000000,47.000000000,0.834891964,0.321399273,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Justin Herbert,QB,28.480000000,False,ESTABLISHED,50.000000000,97.000000000,141.000000000,-44.000000000,44.000000000,0.780781604,0.412350362,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Trevor Lawrence,QB,26.905000000,False,ESTABLISHED,28.000000000,87.000000000,130.000000000,-43.000000000,43.000000000,0.806991426,0.421926492,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Patrick Mahomes,QB,30.958000000,False,ESTABLISHED,67.000000000,124.000000000,165.000000000,-41.000000000,41.000000000,0.767732906,0.383485494,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Baker Mayfield,QB,31.385000000,False,ESTABLISHED,131.000000000,118.000000000,159.000000000,-41.000000000,41.000000000,0.793330199,0.355136393,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Lamar Jackson,QB,29.649000000,False,ESTABLISHED,144.000000000,160.000000000,196.000000000,-36.000000000,36.000000000,0.700965560,0.381458986,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Drake Maye,QB,24.006000000,False,THIRD_YEAR,23.000000000,50.000000000,84.000000000,-34.000000000,34.000000000,0.834095379,0.509109282,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Dak Prescott,QB,33.093000000,False,ESTABLISHED,70.000000000,129.000000000,163.000000000,-34.000000000,34.000000000,0.802642448,0.312195697,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Josh Allen,QB,30.281000000,False,ESTABLISHED,21.000000000,26.000000000,54.000000000,-28.000000000,28.000000000,0.860968057,0.543993899,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Jaxson Dart,QB,23.305000000,False,SECOND_YEAR,139.000000000,180.000000000,204.000000000,-24.000000000,24.000000000,0.659259663,0.392088860,REVIEW_ONLY_SOURCE|WIN_NOW_PREMIUM,MEDIUM_REVIEW_ONLY
Omarion Hampton,RB,23.464000000,False,SECOND_YEAR,134.000000000,107.000000000,88.000000000,19.000000000,19.000000000,0.673795447,0.416948897,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
Cam Skattebo,RB,24.570000000,False,SECOND_YEAR,142.000000000,116.000000000,97.000000000,19.000000000,19.000000000,0.652754835,0.396223361,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
Mike Evans,WR,33.030000000,False,ESTABLISHED,130.000000000,138.000000000,120.000000000,18.000000000,18.000000000,0.636608576,0.054194555,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
Jordan Love,QB,27.831000000,False,ESTABLISHED,143.000000000,192.000000000,210.000000000,-18.000000000,18.000000000,0.706168873,0.306577978,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
Terry McLaurin,WR,30.963000000,False,ESTABLISHED,52.000000000,106.000000000,89.000000000,17.000000000,17.000000000,0.691229114,0.186553069,REVIEW_ONLY_SOURCE|PRODUCTIVE_VETERAN_GUARD|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
Garrett Wilson,WR,26.111000000,False,LOW_GAMES_VETERAN,63.000000000,130.000000000,113.000000000,17.000000000,17.000000000,0.638197400,0.294499358,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
J.K. Dobbins,RB,27.708000000,False,ESTABLISHED,162.000000000,108.000000000,91.000000000,17.000000000,17.000000000,0.676099876,0.313840895,REVIEW_ONLY_SOURCE|PRODUCTIVE_VETERAN_GUARD|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
Sam Darnold,QB,29.241000000,False,ESTABLISHED,177.000000000,191.000000000,207.000000000,-16.000000000,16.000000000,0.734887576,0.272126313,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
Christian Watson,WR,27.308000000,False,ESTABLISHED,57.000000000,114.000000000,100.000000000,14.000000000,14.000000000,0.685933686,0.269289097,REVIEW_ONLY_SOURCE|PRODUCTIVE_VETERAN_GUARD|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
Marvin Harrison,WR,24.058000000,False,THIRD_YEAR,75.000000000,109.000000000,95.000000000,14.000000000,14.000000000,0.709146993,0.391262399,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,MEDIUM_REVIEW_ONLY
Jayden Reed,WR,26.344000000,False,LOW_GAMES_VETERAN,109.000000000,171.000000000,158.000000000,13.000000000,13.000000000,0.548384511,0.183373650,REVIEW_ONLY_SOURCE|LOW_GAMES_GUARD|LENSES_BROADLY_ALIGNED,LOW
