season,position,rows,games_coverage_pct,injury_record_present_pct,weekly_roster_coverage_pct,snap_coverage_pct,depth_coverage_pct,next_season_target_coverage_pct,injury_return_rows,low_games_rows
2012,QB,88,100.000000,44.318000,100.000000,0.000000,98.864000,84.091000,1,52
2012,RB,153,100.000000,66.667000,100.000000,0.000000,90.850000,72.549000,7,57
2012,TE,130,100.000000,67.692000,100.000000,0.000000,97.692000,76.923000,5,56
2012,WR,230,100.000000,70.870000,100.000000,0.000000,99.565000,70.435000,18,81
2013,QB,96,100.000000,44.792000,100.000000,70.833000,97.917000,77.083000,5,60
2013,RB,154,100.000000,65.584000,100.000000,94.156000,93.506000,67.532000,13,60
2013,TE,135,100.000000,68.889000,100.000000,96.296000,96.296000,74.815000,9,67
2013,WR,220,100.000000,65.455000,100.000000,95.909000,96.364000,72.273000,14,82
2014,QB,92,100.000000,45.652000,100.000000,81.522000,98.913000,86.957000,2,58
2014,RB,149,100.000000,69.128000,100.000000,93.289000,92.617000,75.168000,11,45
2014,TE,134,100.000000,62.687000,100.000000,96.269000,96.269000,77.612000,6,57
2014,WR,221,100.000000,65.611000,100.000000,95.475000,98.190000,73.756000,15,77
2015,QB,97,100.000000,46.392000,100.000000,76.289000,97.938000,94.845000,7,61
2015,RB,159,100.000000,62.264000,100.000000,94.969000,95.597000,89.308000,14,62
2015,TE,138,100.000000,64.493000,100.000000,93.478000,96.377000,91.304000,10,58
2015,WR,221,100.000000,70.136000,100.000000,96.833000,99.548000,92.308000,15,69
2016,QB,125,100.000000,36.800000,100.000000,58.400000,76.800000,79.200000,3,93
2016,RB,255,100.000000,42.745000,100.000000,57.255000,60.000000,70.196000,19,158
2016,TE,207,100.000000,43.478000,100.000000,63.285000,63.768000,71.981000,14,133
2016,WR,387,100.000000,39.276000,100.000000,55.039000,56.848000,71.318000,17,235
2017,QB,121,100.000000,44.628000,100.000000,61.157000,76.033000,76.860000,17,89
2017,RB,252,100.000000,44.444000,100.000000,57.540000,59.921000,73.016000,47,156
2017,TE,211,100.000000,45.498000,100.000000,63.507000,65.403000,77.251000,37,133
2017,WR,415,100.000000,38.554000,100.000000,53.253000,55.181000,71.325000,69,262
2018,QB,122,100.000000,32.787000,100.000000,59.836000,73.770000,81.148000,13,86
2018,RB,262,100.000000,40.458000,100.000000,57.252000,58.397000,69.847000,51,168
2018,TE,214,100.000000,39.252000,100.000000,63.084000,65.888000,75.234000,38,137
2018,WR,418,100.000000,39.474000,100.000000,57.177000,58.373000,65.789000,81,276
2019,QB,129,100.000000,34.884000,100.000000,55.814000,71.318000,84.496000,35,94
2019,RB,249,100.000000,42.169000,100.000000,59.438000,58.233000,74.297000,90,153
2019,TE,216,100.000000,44.907000,100.000000,63.426000,66.204000,77.778000,74,145
2019,WR,397,100.000000,41.310000,100.000000,59.698000,60.705000,76.322000,141,244
2020,QB,129,100.000000,34.109000,100.000000,63.566000,79.845000,82.946000,51,92
2020,RB,241,100.000000,53.527000,100.000000,68.880000,64.730000,75.104000,133,141
2020,TE,217,100.000000,46.083000,100.000000,65.899000,63.134000,76.498000,93,140
2020,WR,394,100.000000,43.655000,100.000000,62.944000,60.914000,76.396000,174,239
2021,QB,122,100.000000,40.164000,100.000000,68.033000,81.967000,82.787000,71,89
2021,RB,228,100.000000,50.877000,100.000000,74.123000,66.667000,79.386000,147,126
2021,TE,208,100.000000,49.519000,100.000000,73.558000,64.904000,75.481000,114,130
2021,WR,372,100.000000,45.161000,100.000000,72.849000,63.710000,81.452000,209,216
2022,QB,123,100.000000,38.211000,100.000000,68.293000,75.610000,76.423000,54,88
2022,RB,241,100.000000,48.133000,100.000000,65.560000,60.581000,72.199000,120,142
2022,TE,217,100.000000,42.857000,100.000000,64.516000,60.369000,74.654000,90,135
2022,WR,412,100.000000,41.505000,100.000000,60.922000,54.854000,70.631000,184,261
2023,QB,121,100.000000,44.628000,100.000000,67.769000,77.686000,85.124000,53,84
2023,RB,231,100.000000,45.887000,100.000000,66.234000,58.442000,75.325000,115,140
2023,TE,206,100.000000,44.660000,100.000000,67.961000,60.194000,81.068000,86,125
2023,WR,416,100.000000,41.827000,100.000000,58.894000,52.163000,74.760000,165,248
2024,QB,129,100.000000,37.209000,100.000000,62.016000,68.217000,82.171000,44,90
2024,RB,232,100.000000,46.121000,100.000000,63.362000,57.759000,75.000000,107,133
2024,TE,216,100.000000,43.519000,100.000000,64.815000,62.500000,75.463000,85,137
2024,WR,420,100.000000,41.667000,100.000000,59.524000,53.571000,67.619000,171,262
2025,QB,130,100.000000,44.615000,100.000000,61.538000,0.000000,0.000000,52,93
2025,RB,232,100.000000,49.138000,100.000000,63.793000,0.000000,0.000000,99,135
2025,TE,208,100.000000,49.519000,100.000000,70.192000,0.000000,0.000000,90,121
2025,WR,401,100.000000,43.890000,100.000000,62.594000,0.000000,0.000000,184,239
