provider,dataset,snapshot_id,season,status,source_url,retrieved_at_utc,sha256,bytes,rows,schema_fingerprint,package_version,license_spdx,external_reference
nflverse,combine,20260730T072407Z-5e6847b155d8,,downloaded,https://github.com/nflverse/nflverse-data/releases/download/combine/combine.parquet,2026-07-30T07:24:07Z,1b6c48a0b56e515b043dd678ea38a2e6ae83cb9de488e6a0a89f8b2f980bf2cf,374318,8968,82c99e0f0e22fe6765719051f6b40374c48f1ae1ff84290e8663e084986685aa,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/combine/20260730T072407Z-5e6847b155d8/raw/combine.parquet
nflverse,depth_charts,20260730T072407Z-0c7e088f9666,2012,downloaded,https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2012.parquet,2026-07-30T07:24:07Z,b706f2459a6614e3f5b3307178aa44840f5f5774a00fce1d13d83da921c13b3e,484727,37312,e05d25ab02f6e0265bfe48fd3a32f69c93dc53d79af527da976b21cff694cf54,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/depth_charts/20260730T072407Z-0c7e088f9666/raw/depth_charts_2012.parquet
nflverse,depth_charts,20260730T072407Z-0c7e088f9666,2013,downloaded,https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2013.parquet,2026-07-30T07:24:07Z,9a203bcaeadf640e9f0a51b4c4143b2f119a763f6e2f438a2514c225943d3d66,481235,37066,e05d25ab02f6e0265bfe48fd3a32f69c93dc53d79af527da976b21cff694cf54,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/depth_charts/20260730T072407Z-0c7e088f9666/raw/depth_charts_2013.parquet
nflverse,depth_charts,20260730T072407Z-0c7e088f9666,2014,downloaded,https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2014.parquet,2026-07-30T07:24:07Z,f4ed3b95c6a5c2e82243bcaffdb2fdb1c64313989aa55044bd4f33490a6abe96,435044,32542,e05d25ab02f6e0265bfe48fd3a32f69c93dc53d79af527da976b21cff694cf54,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/depth_charts/20260730T072407Z-0c7e088f9666/raw/depth_charts_2014.parquet
nflverse,depth_charts,20260730T072407Z-0c7e088f9666,2015,downloaded,https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2015.parquet,2026-07-30T07:24:07Z,0b53e90e707f00d85be1e9afdfe508f9beb51fbe9290629fc501e163be3a585f,484443,37058,e05d25ab02f6e0265bfe48fd3a32f69c93dc53d79af527da976b21cff694cf54,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/depth_charts/20260730T072407Z-0c7e088f9666/raw/depth_charts_2015.parquet
nflverse,depth_charts,20260730T072407Z-0c7e088f9666,2016,downloaded,https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2016.parquet,2026-07-30T07:24:07Z,1f217ac21d2abe7a5c354c4dbd0172a938e281771f10f28ba486e3546008c98f,472374,36612,e05d25ab02f6e0265bfe48fd3a32f69c93dc53d79af527da976b21cff694cf54,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/depth_charts/20260730T072407Z-0c7e088f9666/raw/depth_charts_2016.parquet
nflverse,depth_charts,20260730T072407Z-0c7e088f9666,2017,downloaded,https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2017.parquet,2026-07-30T07:24:07Z,98eec3feb6d25a70fb0aecdfac04d99b27c91cbdc2b51e835f4fe7ce7a1eb315,495128,36620,e05d25ab02f6e0265bfe48fd3a32f69c93dc53d79af527da976b21cff694cf54,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/depth_charts/20260730T072407Z-0c7e088f9666/raw/depth_charts_2017.parquet
nflverse,depth_charts,20260730T072407Z-0c7e088f9666,2018,downloaded,https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2018.parquet,2026-07-30T07:24:07Z,90654261a7c0c1724b7e7a5219229c47cfadd1c15f2d28814daf5fc8a8c534ee,494788,36560,e05d25ab02f6e0265bfe48fd3a32f69c93dc53d79af527da976b21cff694cf54,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/depth_charts/20260730T072407Z-0c7e088f9666/raw/depth_charts_2018.parquet
nflverse,depth_charts,20260730T072407Z-0c7e088f9666,2019,downloaded,https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2019.parquet,2026-07-30T07:24:07Z,797c57613c428d175777a55887f4099a73fc23bb3f46bb01d2d5d46c93bc8d99,479015,36308,e05d25ab02f6e0265bfe48fd3a32f69c93dc53d79af527da976b21cff694cf54,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/depth_charts/20260730T072407Z-0c7e088f9666/raw/depth_charts_2019.parquet
nflverse,depth_charts,20260730T072407Z-0c7e088f9666,2020,downloaded,https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2020.parquet,2026-07-30T07:24:07Z,06c2f2ea95d742aef297188873e3e75043ff4bf67780660251ff09a93980b2c9,462550,36168,e05d25ab02f6e0265bfe48fd3a32f69c93dc53d79af527da976b21cff694cf54,0.1.5,CC-BY-4.0,SOURCE_SNAPSHOT_ROOT/nflverse/depth_charts/20260730T072407Z-0c7e088f9666/raw/depth_charts_2020.parquet
