source_dataset,source_row,gsis_id,identity_classification,provider_authority,provider_id,player_name,position,draft_year,draft_round,draft_pick,name_used_as_identity
combine,3,,UNRESOLVED,,,Kyle Allamon,TE,2000,,,false
combine,8,,UNRESOLVED,,,Kyle Atteberry,K,2000,,,false
combine,11,,UNRESOLVED,,,Mark Baniewicz,OT,2000.0,7.0,,false
combine,15,,UNRESOLVED,,,Andrew Bayes,P,2000,,,false
combine,16,,UNRESOLVED,,,Terrance Beadles,OG,2000,,,false
combine,19,,UNRESOLVED,,,Matt Beck,ILB,2000,,,false
combine,24,,UNRESOLVED,,,Michael Boireau,DE,2000.0,2.0,,false
combine,26,,UNRESOLVED,,,Carl Bradley,DT,2000,,,false
combine,28,,UNRESOLVED,,,Robert Brannon,DT,2000,,,false
combine,29,,UNRESOLVED,,,Keith Brown,RB,2000,,,false
combine,30,,UNRESOLVED,,,Demario Brown,RB,2000,,,false
combine,38,,UNRESOLVED,,,Bill Burke,QB,2000,,,false
combine,40,,UNRESOLVED,,,David Byrd,CB,2000,,,false
combine,43,,UNRESOLVED,,,Giovanni Carmazzi,QB,2000.0,3.0,,false
combine,47,,UNRESOLVED,,,Chris Chaloupka,QB,2000,,,false
combine,50,,UNRESOLVED,,,Chrys Chukwuma,RB,2000,,,false
combine,51,,UNRESOLVED,,,Joey Chustz,OT,2000.0,4.0,,false
combine,52,,UNRESOLVED,,,Pedro Cirino,S,2000,,,false
combine,53,,UNRESOLVED,,,John Saint Clair,C,2000,,,false
combine,63,,UNRESOLVED,,,Kurth Connell,OT,2000,,,false
combine,64,,UNRESOLVED,,,Rameel Connor,DE,2000,,,false
combine,65,,UNRESOLVED,,,D.J. Cooper,DT,2000,,,false
combine,66,,UNRESOLVED,,,Ashley Cooper,S,2000,,,false
combine,69,,UNRESOLVED,,,Sedrick Curry,CB,2000,,,false
combine,70,,UNRESOLVED,,,Chris Daniels,WR,2000,,,false
combine,71,,UNRESOLVED,,,Brandon Daniels,WR,2000,,,false
combine,72,,UNRESOLVED,,,Joe Dean Davenport,TE,2000,,,false
combine,73,,UNRESOLVED,,,Darren Davis,RB,2000,,,false
combine,74,,UNRESOLVED,,,Adam Davis,OG,2000,,,false
combine,78,,UNRESOLVED,,,Mike Derouselle,DT,2000,,,false
combine,83,,UNRESOLVED,,,Chris Edwards,OLB,2000,,,false
combine,87,,UNRESOLVED,,,Dwan Epps,ILB,2000,,,false
combine,88,,UNRESOLVED,,,Matt Farmer,WR,2000,,,false
combine,90,,UNRESOLVED,,,Kevin Feterik,QB,2000,,,false
combine,91,,UNRESOLVED,,,Chafie Fields,WR,2000,,,false
combine,95,,UNRESOLVED,,,Derrick Foster,RB,2000,,,false
combine,97,,UNRESOLVED,,,John Frank,DE,2000.0,6.0,,false
combine,104,,UNRESOLVED,,,Jason Gavadza,TE,2000.0,6.0,,false
combine,107,,UNRESOLVED,,,Sherrod Gideon,WR,2000.0,6.0,,false
combine,110,,UNRESOLVED,,,Lamar Grant,CB,2000,,,false
combine,113,,UNRESOLVED,,,Jonathan Gray,OT,2000,,,false
combine,114,,UNRESOLVED,,,Brian Gray,CB,2000,,,false
combine,121,,UNRESOLVED,,,Ricky Hall,WR,2000,,,false
combine,122,,UNRESOLVED,,,Dante' Hall,RB,2000,,,false
combine,125,,UNRESOLVED,,,Joey Hamilton,WR,2000,,,false
combine,127,,UNRESOLVED,,,Thomas Hamner,RB,2000.0,6.0,,false
combine,128,,UNRESOLVED,,,D'Andre Hardeman,FB,2000,,,false
combine,130,,UNRESOLVED,,,Jeff Harris,CB,2000.0,7.0,,false
combine,133,,UNRESOLVED,,,Semisi Heimuli,OG,2000,,,false
combine,135,,UNRESOLVED,,,Leroy Hodge,WR,2000,,,false
combine,136,,UNRESOLVED,,,Deone Horinek,P,2000,,,false
combine,140,,UNRESOLVED,,,Ethan Howell,CB,2000.0,7.0,,false
combine,141,,UNRESOLVED,,,Aaron Humphrey,DE,2000,,,false
combine,146,,UNRESOLVED,,,Keith Jackson,DT,2000,,,false
combine,147,,UNRESOLVED,,,Al Jackson,OG,2000,,,false
combine,155,,UNRESOLVED,,,Ryan Johanningmeier,OG,2000,,,false
combine,156,,UNRESOLVED,,,Matt Johnson,OG,2000.0,5.0,,false
combine,161,,UNRESOLVED,,,Dwaune Jones,WR,2000,,,false
combine,167,,UNRESOLVED,,,Morgan Kane,RB,2000,,,false
combine,169,,UNRESOLVED,,,Tinker Keck,S,2000,,,false
combine,170,,UNRESOLVED,,,Matt Keller,FB,2000,,,false
combine,172,,UNRESOLVED,,,Dan Kendra,FB,2000,,,false
combine,174,,UNRESOLVED,,,Sean Key,S,2000,,,false
combine,175,,UNRESOLVED,,,Jimmy Kibble,P,2000,,,false
combine,178,,UNRESOLVED,,,Andrew Kline,OG,2000.0,7.0,,false
combine,185,,UNRESOLVED,,,Tim Lester,QB,2000,,,false
combine,187,,UNRESOLVED,,,Anthony Lucas,WR,2000.0,4.0,,false
combine,189,,UNRESOLVED,,,Alton Lusk,WR,2000,,,false
combine,194,,UNRESOLVED,,,Terrence McCaskey,TE,2000,,,false
combine,203,,UNRESOLVED,,,Richard Mercier,OG,2000.0,5.0,,false
combine,205,,UNRESOLVED,,,Wendell Montgomery,WR,2000,,,false
combine,207,,UNRESOLVED,,,Mookie Moore,OG,2000,,,false
combine,208,,UNRESOLVED,,,Muneer Moore,WR,2000.0,5.0,,false
combine,216,,UNRESOLVED,,,Leon Murray,QB,2000,,,false
