field_id,position,threshold,horizon,event_window_offsets,minimum_qualifying_seasons,target_rows,labeled_rows,positive_events,negative_events,event_rate,complete_rows,positive_before_censoring_rows,negative_complete_rows,insufficient_rows,right_censored_rows,inactive_rows,retired_rows,missing_player_season_rows,anchor_seasons,identity_authority,sample_gate
QB_T12_NEXT_YEAR,QB,12,NEXT_YEAR,1,1,754,558,124,434,0.2222222222,558,0,434,133,63,0,0,133,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T12_THIS_YEAR,QB,12,THIS_YEAR,0,1,754,754,156,598,0.2068965517,754,0,598,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T12_TWO_OF_NEXT_3Y,QB,12,TWO_OF_NEXT_3Y,0|1|2,2,754,423,111,312,0.2624113475,415,8,312,211,120,0,0,225,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T12_T_PLUS_2,QB,12,T_PLUS_2,2,1,754,415,96,319,0.2313253012,415,0,319,213,126,0,0,213,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T12_WITHIN_3Y,QB,12,WITHIN_3Y,0|1|2,1,754,451,221,230,0.4900221729,415,36,230,204,99,0,0,225,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T12_WITHIN_5Y,QB,12,WITHIN_5Y,0|1|2|3|4,1,754,336,233,103,0.6934523810,234,102,103,228,190,0,0,327,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T6_NEXT_YEAR,QB,6,NEXT_YEAR,1,1,754,558,60,498,0.1075268817,558,0,498,133,63,0,0,133,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T6_THIS_YEAR,QB,6,THIS_YEAR,0,1,754,754,78,676,0.1034482759,754,0,676,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T6_TWO_OF_NEXT_3Y,QB,6,TWO_OF_NEXT_3Y,0|1|2,2,754,417,43,374,0.1031175060,415,2,374,212,125,0,0,225,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T6_T_PLUS_2,QB,6,T_PLUS_2,2,1,754,415,47,368,0.1132530120,415,0,368,213,126,0,0,213,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T6_WITHIN_3Y,QB,6,WITHIN_3Y,0|1|2,1,754,437,130,307,0.2974828375,415,22,307,206,111,0,0,225,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
QB_T6_WITHIN_5Y,QB,6,WITHIN_5Y,0|1|2|3|4,1,754,292,147,145,0.5034246575,234,58,145,245,217,0,0,327,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T12_NEXT_YEAR,RB,12,NEXT_YEAR,1,1,1429,990,110,880,0.1111111111,990,0,880,333,106,0,0,333,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T12_THIS_YEAR,RB,12,THIS_YEAR,0,1,1429,1429,156,1273,0.1091672498,1429,0,1273,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T12_TWO_OF_NEXT_3Y,RB,12,TWO_OF_NEXT_3Y,0|1|2,2,1429,680,89,591,0.1308823529,671,9,591,543,206,0,0,568,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T12_T_PLUS_2,RB,12,T_PLUS_2,2,1,1429,671,78,593,0.1162444113,671,0,593,544,214,0,0,544,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T12_WITHIN_3Y,RB,12,WITHIN_3Y,0|1|2,1,1429,709,238,471,0.3356840621,671,38,471,534,186,0,0,568,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T12_WITHIN_5Y,RB,12,WITHIN_5Y,0|1|2|3|4,1,1429,378,250,128,0.6613756614,254,124,128,668,383,0,0,880,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T24_NEXT_YEAR,RB,24,NEXT_YEAR,1,1,1429,990,224,766,0.2262626263,990,0,766,333,106,0,0,333,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T24_THIS_YEAR,RB,24,THIS_YEAR,0,1,1429,1429,312,1117,0.2183344997,1429,0,1117,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T24_TWO_OF_NEXT_3Y,RB,24,TWO_OF_NEXT_3Y,0|1|2,2,1429,692,197,495,0.2846820809,671,21,495,539,198,0,0,568,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T24_T_PLUS_2,RB,24,T_PLUS_2,2,1,1429,671,151,520,0.2250372578,671,0,520,544,214,0,0,544,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T24_WITHIN_3Y,RB,24,WITHIN_3Y,0|1|2,1,1429,763,410,353,0.5373525557,671,92,353,507,159,0,0,568,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T24_WITHIN_5Y,RB,24,WITHIN_5Y,0|1|2|3|4,1,1429,513,422,91,0.8226120858,254,259,91,582,334,0,0,880,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T36_NEXT_YEAR,RB,36,NEXT_YEAR,1,1,1429,990,340,650,0.3434343434,990,0,650,333,106,0,0,333,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T36_THIS_YEAR,RB,36,THIS_YEAR,0,1,1429,1429,468,961,0.3275017495,1429,0,961,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T36_TWO_OF_NEXT_3Y,RB,36,TWO_OF_NEXT_3Y,0|1|2,2,1429,712,314,398,0.4410112360,671,41,398,530,187,0,0,568,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T36_T_PLUS_2,RB,36,T_PLUS_2,2,1,1429,671,231,440,0.3442622951,671,0,440,544,214,0,0,544,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T36_WITHIN_3Y,RB,36,WITHIN_3Y,0|1|2,1,1429,828,579,249,0.6992753623,671,157,249,464,137,0,0,568,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T36_WITHIN_5Y,RB,36,WITHIN_5Y,0|1|2|3|4,1,1429,644,590,54,0.9161490683,254,390,54,494,291,0,0,880,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T6_NEXT_YEAR,RB,6,NEXT_YEAR,1,1,1429,990,55,935,0.0555555556,990,0,935,333,106,0,0,333,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T6_THIS_YEAR,RB,6,THIS_YEAR,0,1,1429,1429,78,1351,0.0545836249,1429,0,1351,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T6_TWO_OF_NEXT_3Y,RB,6,TWO_OF_NEXT_3Y,0|1|2,2,1429,675,44,631,0.0651851852,671,4,631,543,211,0,0,568,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T6_T_PLUS_2,RB,6,T_PLUS_2,2,1,1429,671,40,631,0.0596125186,671,0,631,544,214,0,0,544,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T6_WITHIN_3Y,RB,6,WITHIN_3Y,0|1|2,1,1429,692,126,566,0.1820809249,671,21,566,538,199,0,0,568,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
RB_T6_WITHIN_5Y,RB,6,WITHIN_5Y,0|1|2|3|4,1,1429,313,134,179,0.4281150160,254,59,179,700,416,0,0,880,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T12_NEXT_YEAR,TE,12,NEXT_YEAR,1,1,1211,852,119,733,0.1396713615,852,0,733,252,107,0,0,252,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T12_THIS_YEAR,TE,12,THIS_YEAR,0,1,1211,1211,156,1055,0.1288191577,1211,0,1055,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T12_TWO_OF_NEXT_3Y,TE,12,TWO_OF_NEXT_3Y,0|1|2,2,1211,605,101,504,0.1669421488,600,5,504,407,199,0,0,420,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T12_T_PLUS_2,TE,12,T_PLUS_2,2,1,1211,600,86,514,0.1433333333,600,0,514,408,203,0,0,408,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T12_WITHIN_3Y,TE,12,WITHIN_3Y,0|1|2,1,1211,643,225,418,0.3499222395,600,43,418,395,173,0,0,420,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T12_WITHIN_5Y,TE,12,WITHIN_5Y,0|1|2|3|4,1,1211,394,236,158,0.5989847716,279,115,158,486,331,0,0,630,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T6_NEXT_YEAR,TE,6,NEXT_YEAR,1,1,1211,852,64,788,0.0751173709,852,0,788,252,107,0,0,252,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T6_THIS_YEAR,TE,6,THIS_YEAR,0,1,1211,1211,78,1133,0.0644095789,1211,0,1133,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T6_TWO_OF_NEXT_3Y,TE,6,TWO_OF_NEXT_3Y,0|1|2,2,1211,601,51,550,0.0848585691,600,1,550,408,202,0,0,420,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T6_T_PLUS_2,TE,6,T_PLUS_2,2,1,1211,600,50,550,0.0833333333,600,0,550,408,203,0,0,408,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T6_WITHIN_3Y,TE,6,WITHIN_3Y,0|1|2,1,1211,621,126,495,0.2028985507,600,21,495,404,186,0,0,420,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
TE_T6_WITHIN_5Y,TE,6,WITHIN_5Y,0|1|2|3|4,1,1211,341,144,197,0.4222873900,279,62,197,514,356,0,0,630,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T12_NEXT_YEAR,WR,12,NEXT_YEAR,1,1,2124,1470,128,1342,0.0870748299,1470,0,1342,478,176,0,0,478,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T12_THIS_YEAR,WR,12,THIS_YEAR,0,1,2124,2124,156,1968,0.0734463277,2124,0,1968,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T12_TWO_OF_NEXT_3Y,WR,12,TWO_OF_NEXT_3Y,0|1|2,2,2124,1008,98,910,0.0972222222,1001,7,910,774,342,0,0,814,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T12_T_PLUS_2,WR,12,T_PLUS_2,2,1,2124,1001,90,911,0.0899100899,1001,0,911,776,347,0,0,776,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T12_WITHIN_3Y,WR,12,WITHIN_3Y,0|1|2,1,2124,1043,247,796,0.2368168744,1001,42,796,765,316,0,0,814,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T12_WITHIN_5Y,WR,12,WITHIN_5Y,0|1|2|3|4,1,2124,560,265,295,0.4732142857,452,108,295,939,625,0,0,1189,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T24_NEXT_YEAR,WR,24,NEXT_YEAR,1,1,2124,1470,240,1230,0.1632653061,1470,0,1230,478,176,0,0,478,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T24_THIS_YEAR,WR,24,THIS_YEAR,0,1,2124,2124,312,1812,0.1468926554,2124,0,1812,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T24_TWO_OF_NEXT_3Y,WR,24,TWO_OF_NEXT_3Y,0|1|2,2,2124,1016,210,806,0.2066929134,1001,15,806,774,334,0,0,814,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T24_T_PLUS_2,WR,24,T_PLUS_2,2,1,2124,1001,172,829,0.1718281718,1001,0,829,776,347,0,0,776,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T24_WITHIN_3Y,WR,24,WITHIN_3Y,0|1|2,1,2124,1080,427,653,0.3953703704,1001,79,653,756,288,0,0,814,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T24_WITHIN_5Y,WR,24,WITHIN_5Y,0|1|2|3|4,1,2124,661,443,218,0.6701966717,452,209,218,890,573,0,0,1189,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T36_NEXT_YEAR,WR,36,NEXT_YEAR,1,1,2124,1470,360,1110,0.2448979592,1470,0,1110,478,176,0,0,478,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
