nwr_player_id,field_id,released_probability,probability_pre_projection,projection_delta,selected_calibrator,c0_probability,classification,reason_code,player_name,position,age,finished_v1_rank,probability_delta_vs_c0,absolute_probability_delta_vs_c0
9508,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Tyjae Spears,RB,,135,-0.2633430775,0.2633430775
8205,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Isiah Pacheco,RB,,169,-0.2633430775,0.2633430775
7607,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Michael Carter,RB,,171,-0.2633430775,0.2633430775
4035,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Alvin Kamara,RB,,189,-0.2633430775,0.2633430775
5995,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Justice Hill,RB,,196,-0.2633430775,0.2633430775
8154,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Brian Robinson,RB,,200,-0.2633430775,0.2633430775
11571,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Isaiah Davis,RB,,201,-0.2633430775,0.2633430775
11575,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Ray Davis,RB,,204,-0.2633430775,0.2633430775
8122,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Zonovan Knight,RB,,214,-0.2633430775,0.2633430775
9757,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Kendre Miller,RB,,215,-0.2633430775,0.2633430775
11199,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Emari Demercado,RB,,218,-0.2633430775,0.2633430775
9511,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Keaton Mitchell,RB,,220,-0.2633430775,0.2633430775
4219,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jeremy McNichols,RB,,222,-0.2633430775,0.2633430775
4988,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Nick Chubb,RB,,223,-0.2633430775,0.2633430775
9225,RB_T36_WITHIN_3Y,0.4067142008,0.3333333333,0.0733808675,C3_ISOTONIC_MONOTONIC,0.6700572783,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Tank Bigsby,RB,,225,-0.2633430775,0.2633430775
5859,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,A.J. Brown,WR,,13,0.1891361707,0.1891361707
8112,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Drake London,WR,,19,0.1891361707,0.1891361707
6786,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,CeeDee Lamb,WR,,20,0.1891361707,0.1891361707
7525,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,DeVonta Smith,WR,,25,0.1891361707,0.1891361707
8142,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Alec Pierce,WR,,27,0.1891361707,0.1891361707
7526,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jaylen Waddle,WR,,33,0.1891361707,0.1891361707
10232,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Michael Wilson,WR,,34,0.1891361707,0.1891361707
6801,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Tee Higgins,WR,,35,0.1891361707,0.1891361707
8126,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Wan'Dale Robinson,WR,,40,0.1891361707,0.1891361707
9487,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Parker Washington,WR,,44,0.1891361707,0.1891361707
2449,WR_T12_WITHIN_3Y,0.6551724138,0.6551724138,0.0000000000,C3_ISOTONIC_MONOTONIC,0.4660362431,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Stefon Diggs,WR,,61,0.1891361707,0.1891361707
11655,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Tyrone Tracy,RB,,106,0.1614990774,0.1614990774
11584,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Bucky Irving,RB,,108,0.1614990774,0.1614990774
8138,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,James Cook,RB,,11,0.1614990774,0.1614990774
7611,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Rhamondre Stevenson,RB,,112,0.1614990774,0.1614990774
5892,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,David Montgomery,RB,,121,0.1614990774,0.1614990774
8150,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Kyren Williams,RB,,15,0.1614990774,0.1614990774
11647,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Kimani Vidal,RB,,154,0.1614990774,0.1614990774
8408,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jordan Mason,RB,,174,0.1614990774,0.1614990774
4034,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Christian McCaffrey,RB,,18,0.1614990774,0.1614990774
11586,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Blake Corum,RB,,193,0.1614990774,0.1614990774
4098,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Kareem Hunt,RB,,210,0.1614990774,0.1614990774
9224,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Chase Brown,RB,,24,0.1614990774,0.1614990774
9509,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Bijan Robinson,RB,,3,0.1614990774,0.1614990774
8155,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Breece Hall,RB,,31,0.1614990774,0.1614990774
5850,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Josh Jacobs,RB,,32,0.1614990774,0.1614990774
7588,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Javonte Williams,RB,,37,0.1614990774,0.1614990774
4866,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Saquon Barkley,RB,,38,0.1614990774,0.1614990774
6790,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,D'Andre Swift,RB,,39,0.1614990774,0.1614990774
6813,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jonathan Taylor,RB,,4,0.1614990774,0.1614990774
7543,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Travis Etienne,RB,,41,0.1614990774,0.1614990774
8228,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jaylen Warren,RB,,43,0.1614990774,0.1614990774
9221,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jahmyr Gibbs,RB,,5,0.1614990774,0.1614990774
7021,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Rico Dowdle,RB,,56,0.1614990774,0.1614990774
3198,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Derrick Henry,RB,,65,0.1614990774,0.1614990774
8151,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Kenneth Walker,RB,,73,0.1614990774,0.1614990774
5967,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Tony Pollard,RB,,76,0.1614990774,0.1614990774
7567,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Kenneth Gainwell,RB,,80,0.1614990774,0.1614990774
9226,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,De'Von Achane,RB,,9,0.1614990774,0.1614990774
