field_id,candidate,bucket,rows,predicted_mean,actual_rate,absolute_calibration_error
QB_T12_NEXT_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.0-0.1,112,0.0503797414,0.0357142857,0.0146654557
QB_T12_NEXT_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.1-0.2,54,0.1224285498,0.1111111111,0.0113174387
QB_T12_NEXT_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.2-0.3,62,0.2341124597,0.2419354839,0.0078230242
QB_T12_NEXT_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.5-0.6,69,0.5342887703,0.5362318841,0.0019431137
QB_T12_NEXT_YEAR,C1_REGULARIZED_LOGISTIC,0.0-0.1,112,0.0503797414,0.0357142857,0.0146654557
QB_T12_NEXT_YEAR,C1_REGULARIZED_LOGISTIC,0.1-0.2,54,0.1224285498,0.1111111111,0.0113174387
QB_T12_NEXT_YEAR,C1_REGULARIZED_LOGISTIC,0.2-0.3,62,0.2341124597,0.2419354839,0.0078230242
QB_T12_NEXT_YEAR,C1_REGULARIZED_LOGISTIC,0.5-0.6,69,0.5342887703,0.5362318841,0.0019431137
QB_T12_NEXT_YEAR,C2_BETA_CALIBRATION,0.0-0.1,112,0.0503797414,0.0357142857,0.0146654557
QB_T12_NEXT_YEAR,C2_BETA_CALIBRATION,0.1-0.2,54,0.1224285498,0.1111111111,0.0113174387
QB_T12_NEXT_YEAR,C2_BETA_CALIBRATION,0.2-0.3,62,0.2341124597,0.2419354839,0.0078230242
QB_T12_NEXT_YEAR,C2_BETA_CALIBRATION,0.5-0.6,69,0.5342887703,0.5362318841,0.0019431137
QB_T12_NEXT_YEAR,C3_ISOTONIC_MONOTONIC,0.0-0.1,112,0.0503797414,0.0357142857,0.0146654557
QB_T12_NEXT_YEAR,C3_ISOTONIC_MONOTONIC,0.1-0.2,54,0.1224285498,0.1111111111,0.0113174387
QB_T12_NEXT_YEAR,C3_ISOTONIC_MONOTONIC,0.2-0.3,62,0.2341124597,0.2419354839,0.0078230242
QB_T12_NEXT_YEAR,C3_ISOTONIC_MONOTONIC,0.5-0.6,69,0.5342887703,0.5362318841,0.0019431137
QB_T12_THIS_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.0-0.1,184,0.0270940712,0.0271739130,0.0000798418
QB_T12_THIS_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.1-0.2,99,0.1258851683,0.1414141414,0.0155289731
QB_T12_THIS_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.2-0.3,60,0.2787660821,0.2166666667,0.0620994154
QB_T12_THIS_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.3-0.4,36,0.3228754128,0.2222222222,0.1006531905
QB_T12_THIS_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.5-0.6,96,0.5425293256,0.5833333333,0.0408040078
QB_T12_THIS_YEAR,C1_REGULARIZED_LOGISTIC,0.0-0.1,182,0.0303878163,0.0219780220,0.0084097943
QB_T12_THIS_YEAR,C1_REGULARIZED_LOGISTIC,0.1-0.2,101,0.1312413296,0.1485148515,0.0172735219
QB_T12_THIS_YEAR,C1_REGULARIZED_LOGISTIC,0.2-0.3,60,0.2803868243,0.2166666667,0.0637201577
QB_T12_THIS_YEAR,C1_REGULARIZED_LOGISTIC,0.3-0.4,36,0.3228754128,0.2222222222,0.1006531905
QB_T12_THIS_YEAR,C1_REGULARIZED_LOGISTIC,0.5-0.6,96,0.5287359885,0.5833333333,0.0545973448
QB_T12_THIS_YEAR,C2_BETA_CALIBRATION,0.0-0.1,182,0.0322522518,0.0219780220,0.0102742298
QB_T12_THIS_YEAR,C2_BETA_CALIBRATION,0.1-0.2,101,0.1364414414,0.1485148515,0.0120734101
QB_T12_THIS_YEAR,C2_BETA_CALIBRATION,0.2-0.3,60,0.2851611392,0.2166666667,0.0684944725
QB_T12_THIS_YEAR,C2_BETA_CALIBRATION,0.3-0.4,36,0.3228754128,0.2222222222,0.1006531905
QB_T12_THIS_YEAR,C2_BETA_CALIBRATION,0.4-0.5,36,0.4897809231,0.5555555556,0.0657746324
QB_T12_THIS_YEAR,C2_BETA_CALIBRATION,0.5-0.6,60,0.5334383045,0.6000000000,0.0665616955
QB_T12_THIS_YEAR,C3_ISOTONIC_MONOTONIC,0.0-0.1,184,0.0277131865,0.0271739130,0.0005392735
QB_T12_THIS_YEAR,C3_ISOTONIC_MONOTONIC,0.1-0.2,98,0.1281151355,0.1428571429,0.0147420073
QB_T12_THIS_YEAR,C3_ISOTONIC_MONOTONIC,0.2-0.3,61,0.2657229979,0.2131147541,0.0526082438
