feature_family,fidelity,position,target,outer_test_class,train_classes,baseline,rows,exact_identity_rows,feature_observed_rows,baseline_spearman,candidate_spearman,delta_spearman,baseline_ndcg,candidate_ndcg,delta_ndcg,baseline_mae,candidate_mae,baseline_rmse,candidate_rmse,baseline_pr_auc,candidate_pr_auc,baseline_brier,candidate_brier,delta_brier,baseline_log_loss,candidate_log_loss,baseline_ece,candidate_ece,baseline_precision,candidate_precision,baseline_recall,candidate_recall,baseline_calibration_intercept,candidate_calibration_intercept,baseline_calibration_slope,candidate_calibration_slope,baseline_rank_mae,candidate_rank_mae,baseline_top_n_overlap,candidate_top_n_overlap,primary_delta,temporal_status,same_row_status
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2016,2012|2013|2014|2015,B1_CONTINUOUS_OVERALL_PICK,34,34,30,-0.125068,-0.071720,0.053349,0.713513,0.770723,0.057210,53.921525,55.297165,59.179037,61.804313,,,,,,,,,,,,,,,,,,11.882353,12.176471,0.000000,0.200000,0.053349,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2016,2012|2013|2014|2015,B2_DRAFT_CAPITAL_PLUS_AGE,34,34,30,-0.014425,-0.071720,-0.057295,0.673746,0.770723,0.096977,53.322769,55.297165,58.844214,61.804313,,,,,,,,,,,,,,,,,,11.705882,12.176471,0.000000,0.200000,-0.057295,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2016,2012|2013|2014|2015,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,34,34,30,-0.140522,-0.071720,0.068802,0.724819,0.770723,0.045904,55.949435,55.297165,62.236547,61.804313,,,,,,,,,,,,,,,,,,12.147059,12.176471,0.000000,0.200000,0.068802,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2017,2012|2013|2014|2015|2016,B1_CONTINUOUS_OVERALL_PICK,32,32,29,-0.091379,0.347958,0.439338,0.686726,0.784162,0.097436,47.321555,43.040107,51.577514,47.725058,,,,,,,,,,,,,,,,,,10.562500,7.937500,0.000000,0.200000,0.439338,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2017,2012|2013|2014|2015|2016,B2_DRAFT_CAPITAL_PLUS_AGE,32,32,29,0.067429,0.347958,0.280529,0.745064,0.784162,0.039098,46.047396,43.040107,49.946308,47.725058,,,,,,,,,,,,,,,,,,10.375000,7.937500,0.400000,0.200000,0.280529,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2017,2012|2013|2014|2015|2016,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,32,32,29,0.333583,0.347958,0.014375,0.764629,0.784162,0.019533,44.719778,43.040107,48.886940,47.725058,,,,,,,,,,,,,,,,,,7.875000,7.937500,0.200000,0.200000,0.014375,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2018,2012|2013|2014|2015|2016|2017,B1_CONTINUOUS_OVERALL_PICK,33,33,32,0.232924,0.036016,-0.196908,0.894349,0.785035,-0.109314,44.182333,44.007674,49.343638,50.979776,,,,,,,,,,,,,,,,,,9.939394,10.181818,0.200000,0.200000,-0.196908,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2018,2012|2013|2014|2015|2016|2017,B2_DRAFT_CAPITAL_PLUS_AGE,33,33,32,-0.084822,0.036016,0.120838,0.756829,0.785035,0.028206,45.318098,44.007674,50.837728,50.979776,,,,,,,,,,,,,,,,,,11.636364,10.181818,0.000000,0.200000,0.120838,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2018,2012|2013|2014|2015|2016|2017,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,33,33,32,0.061597,0.036016,-0.025581,0.785532,0.785035,-0.000497,43.988015,44.007674,50.173992,50.979776,,,,,,,,,,,,,,,,,,10.484848,10.181818,0.200000,0.200000,-0.025581,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2019,2012|2013|2014|2015|2016|2017|2018,B1_CONTINUOUS_OVERALL_PICK,28,28,28,0.210978,-0.064366,-0.275344,0.846097,0.774152,-0.071944,51.322274,53.999010,54.442360,58.070861,,,,,,,,,,,,,,,,,,8.392857,9.928571,0.400000,0.200000,-0.275344,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2019,2012|2013|2014|2015|2016|2017|2018,B2_DRAFT_CAPITAL_PLUS_AGE,28,28,28,0.186772,-0.064366,-0.251138,0.815938,0.774152,-0.041785,51.311650,53.999010,54.558064,58.070861,,,,,,,,,,,,,,,,,,8.642857,9.928571,0.400000,0.200000,-0.251138,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2019,2012|2013|2014|2015|2016|2017|2018,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,28,28,28,-0.050888,-0.064366,-0.013478,0.772754,0.774152,0.001399,53.092089,53.999010,56.325506,58.070861,,,,,,,,,,,,,,,,,,9.892857,9.928571,0.200000,0.200000,-0.013478,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2020,2012|2013|2014|2015|2016|2017|2018|2019,B1_CONTINUOUS_OVERALL_PICK,37,37,37,0.476337,0.167833,-0.308504,0.836190,0.745519,-0.090672,47.008965,46.650240,52.313612,54.008345,,,,,,,,,,,,,,,,,,8.756757,10.594595,0.400000,0.200000,-0.308504,PASS_EARLIER_CLASSES_ONLY,PASS
