source_family,feature_season,source_url,local_cache_path,sha256,file_size,raw_rows,regular_season_rows,receiving_target_rows,players_with_targets,source_gate_status,asof_status
nflfastR_public_play_by_play_receiving_opportunity,2012,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2012.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2012.parquet,447b90789104aac70427ec9d3b51df7247234029d0ecabd269279369b1cc6278,19322039,47834,45829,17595,496,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2013,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2013.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2013.parquet,f454605a1983b3946baf0ffadf3a0b9f5e04735c4b84732e0483f2049a780d00,19521610,48158,46255,17898,481,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2014,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2014.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2014.parquet,54c01408d8f0ff9e013a4ea51428b91d610101f72545d082e932f5710e2fb4f7,19360792,47629,45673,17658,481,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2015,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2015.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2015.parquet,01b5ae7d06633a2e66b418404461a3d4ff055ad2f3a87d453cebcc8d3fda7ed9,19545842,48122,46141,18145,487,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2016,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2016.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2016.parquet,95eba04e2145e3c1c8ca502f2a3a76cfb0a5990680c3fb480f02a74a45f54a3b,19344382,47651,45707,18075,497,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2017,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2017.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2017.parquet,84eacd963c1fdd45965f6222c62e9329a7f3412f029d92c1ac5e34a1bb4d3710,19050401,47245,45268,17232,481,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2018,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2018.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2018.parquet,2e6f2dce7c7ebd46e985cabe0c17eb72b39a77f98cb4478409294f50b5820150,19072097,47109,45120,17262,518,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2019,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2019.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2019.parquet,60c3067017db2d28a78f66a79b657268be8578d9a5288e6a827efdcd7fe42540,19119729,47260,45339,17221,508,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2020,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2020.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2020.parquet,73b7dbf66fa8cb9356f58bf6b1f15a0fee197ecc10cf4983b640cb9679b15cb4,19311336,47705,45406,17398,527,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2021,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2021.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2021.parquet,333ad34378e5339d5172717cc83378e908daf02c8699416ab3e17c2ec10f78d8,20249925,49922,47651,18161,538,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2022,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2022.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2022.parquet,931121d8897779d7944e2a293e92ed8799c8e5cceef84096ac42339003fedc09,20426548,49434,47157,17390,509,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2023,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2023.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2023.parquet,bd3484731408def6b0ec93225bba2bd7b2c65769ca707a2b9444d891abdc6776,20534088,49665,47399,17553,486,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
nflfastR_public_play_by_play_receiving_opportunity,2024,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2024.parquet,C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2024.parquet,6d432dd4308329bfddaef633309ea119f9ca46d52cbb3c09f47172a2e8efcd01,20576368,49492,47274,17103,494,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_ONLY
