player_id,player_name,position,team,identity_status,identity_source
00-0023459,Aaron Rodgers,QB,PIT,EXACT,nflverse.players.gsis_id
00-0026158,Joe Flacco,QB,CIN,EXACT,nflverse.players.gsis_id
00-0026300,Josh Johnson,QB,CIN,EXACT,nflverse.players.gsis_id
00-0026498,Matthew Stafford,QB,LA,EXACT,nflverse.players.gsis_id
00-0027973,Andy Dalton,QB,PHI,EXACT,nflverse.players.gsis_id
00-0028118,Tyrod Taylor,QB,GB,EXACT,nflverse.players.gsis_id
00-0028986,Case Keenum,QB,CHI,EXACT,nflverse.players.gsis_id
00-0029604,Kirk Cousins,QB,LV,EXACT,nflverse.players.gsis_id
00-0030565,Geno Smith,QB,NYJ,EXACT,nflverse.players.gsis_id
00-0031237,Teddy Bridgewater,QB,DET,EXACT,nflverse.players.gsis_id
00-0031503,Jameis Winston,QB,NYG,EXACT,nflverse.players.gsis_id
00-0032156,Trevor Siemian,QB,ATL,EXACT,nflverse.players.gsis_id
00-0032268,Marcus Mariota,QB,WAS,EXACT,nflverse.players.gsis_id
00-0032434,Brandon Allen,QB,NYG,EXACT,nflverse.players.gsis_id
00-0032950,Carson Wentz,QB,MIN,EXACT,nflverse.players.gsis_id
00-0033077,Dak Prescott,QB,DAL,EXACT,nflverse.players.gsis_id
00-0033106,Jared Goff,QB,DET,EXACT,nflverse.players.gsis_id
00-0033119,Jacoby Brissett,QB,AZ,EXACT,nflverse.players.gsis_id
00-0033319,Nick Mullens,QB,JAX,EXACT,nflverse.players.gsis_id
00-0033537,Deshaun Watson,QB,CLE,EXACT,nflverse.players.gsis_id
00-0033869,Mitchell Trubisky,QB,TEN,EXACT,nflverse.players.gsis_id
00-0033873,Patrick Mahomes,QB,KC,EXACT,nflverse.players.gsis_id
00-0034577,Kyle Allen,QB,BUF,EXACT,nflverse.players.gsis_id
00-0034771,Mason Rudolph,QB,PIT,EXACT,nflverse.players.gsis_id
00-0034796,Lamar Jackson,QB,BAL,EXACT,nflverse.players.gsis_id
00-0034855,Baker Mayfield,QB,TB,EXACT,nflverse.players.gsis_id
