player_id,player_name,position,draft_round,draft_pick,cohort_scope,cohort_rows
MEN516487,Fernando Mendoza,QB,1,1,POSITION_ROUND,45
00-0041027,Jeremiyah Love,RB,1,3,POSITION_ROUND,19
00-0041438,Carnell Tate,WR,1,4,POSITION_ROUND,61
00-0041029,Jordyn Tyson,WR,1,8,POSITION_ROUND,61
SIM639376,Ty Simpson,QB,1,13,POSITION_ROUND,45
00-0041032,Kenyon Sadiq,TE,1,16,POSITION_ROUND,13
00-0040867,Makai Lemon,WR,1,20,POSITION_ROUND,61
00-0041547,KC Concepcion,WR,1,24,POSITION_ROUND,61
00-0041511,Omar Cooper Jr.,WR,1,30,POSITION_ROUND,61
00-0041512,Jadarian Price,RB,1,32,POSITION_ROUND,19
00-0041035,De'Zhaun Stribling,WR,2,33,POSITION_ROUND,68
00-0041037,Denzel Boston,WR,2,39,POSITION_ROUND,68
00-0041489,Germie Bernard,WR,2,47,POSITION_ROUND,68
00-0041483,Eli Stowers,TE,2,54,POSITION_ROUND,27
00-0041503,Nate Boerkircher,TE,2,56,POSITION_ROUND,27
00-0041472,Marlin Klein,TE,2,59,POSITION_ROUND,27
00-0041510,Max Klare,TE,2,61,POSITION_ROUND,27
00-0041561,Carson Beck,QB,3,65,POSITION_ROUND,19
00-0041558,Sam Roush,TE,3,69,POSITION_ROUND,34
00-0041040,Antonio Williams,WR,3,71,POSITION_ROUND,63
00-0041041,Oscar Delp,TE,3,73,POSITION_ROUND,34
00-0041042,Malachi Fields,WR,3,74,POSITION_ROUND,63
00-0041523,Caleb Douglas,WR,3,75,POSITION_ROUND,63
ALL015451,Drew Allar,QB,3,76,POSITION_ROUND,19
00-0041044,Zachariah Branch,WR,3,79,POSITION_ROUND,63
00-0040870,Ja'Kobi Lane,WR,3,80,POSITION_ROUND,63
00-0041047,Chris Brazzell II,WR,3,83,POSITION_ROUND,63
00-0041048,Ted Hurst III,WR,3,84,POSITION_ROUND,63
00-0041524,Will Kacmarek,TE,3,87,POSITION_ROUND,34
00-0041051,Zavion Thomas,WR,3,89,POSITION_ROUND,63
00-0041052,Kaelon Black,RB,3,90,POSITION_ROUND,39
00-0041525,Chris Bell,WR,3,94,POSITION_ROUND,63
00-0041395,Eli Raridon,TE,3,95,POSITION_ROUND,34
00-0041550,Brenen Thompson,WR,4,105,POSITION_ROUND,65
00-0041496,Jonah Coleman,RB,4,108,POSITION_ROUND,60
00-0041056,Cade Klubnik,QB,4,110,POSITION_ROUND,22
00-0040876,Elijah Sarratt,WR,4,115,POSITION_ROUND,65
00-0041397,Kaden Wetjen,WR,4,121,POSITION_ROUND,65
00-0040878,Mike Washington Jr.,RB,4,122,POSITION_ROUND,60
00-0041443,Skyler Bell,WR,4,125,POSITION_ROUND,65
00-0040879,Matthew Hibner,TE,4,133,POSITION_ROUND,36
00-0041067,Bryce Lance,WR,4,136,POSITION_ROUND,65
00-0041069,Colbie Young,WR,4,140,POSITION_ROUND,65
00-0041070,Reggie Virgil,WR,5,143,POSITION_ROUND,54
00-0041077,Justin Joly,TE,5,152,POSITION_ROUND,32
00-0041013,Emmett Johnson,RB,5,161,POSITION_ROUND,45
00-0041084,Tanner Koziol,TE,5,164,POSITION_ROUND,32
00-0040886,Nicholas Singleton,RB,5,165,POSITION_ROUND,45
LAW090280,Kendrick Law,WR,5,168,POSITION_ROUND,54
00-0041087,Joe Royer,TE,5,170,POSITION_ROUND,32
00-0040887,Josh Cuevas,TE,5,173,POSITION_ROUND,32
00-0040888,Adam Randall,RB,5,174,POSITION_ROUND,45
00-0040890,Cyrus Allen,WR,5,176,POSITION_ROUND,54
00-0041529,Kevin Coleman Jr.,WR,5,177,POSITION_ROUND,54
00-0040891,Cole Payton,QB,5,178,POSITION_ROUND,17
TRA291459,Seydou Traore,TE,5,180,POSITION_ROUND,32
00-0041092,Taylen Green,QB,6,182,POSITION_ROUND,25
00-0041094,Bauer Sharp,TE,6,185,POSITION_ROUND,25
00-0041096,Kaytron Allen,RB,6,187,POSITION_ROUND,52
00-0041099,Barion Brown,WR,6,190,POSITION_ROUND,71
00-0041100,Josh Cameron,WR,6,191,POSITION_ROUND,71
00-0040894,Malik Benson,WR,6,195,POSITION_ROUND,71
00-0041399,CJ Daniels,WR,6,197,POSITION_ROUND,71
00-0041104,Demond Claiborne,RB,6,198,POSITION_ROUND,52
00-0040895,Emmanuel Henderson Jr.,WR,6,199,POSITION_ROUND,71
00-0041106,C.J. Williams,WR,6,203,POSITION_ROUND,71
00-0041467,Lewis Bond,WR,6,204,POSITION_ROUND,71
00-0040900,Anthony Smith,WR,7,218,POSITION_ROUND,66
00-0041116,Jack Endries,TE,7,221,POSITION_ROUND,31
00-0041117,Athan Kaliakmanis,QB,7,223,POSITION_ROUND,22
00-0040901,Jaren Kanak,TE,7,225,POSITION_ROUND,31
00-0041123,Behren Morton,QB,7,234,POSITION_ROUND,22
00-0041125,Seth McGowan,RB,7,237,POSITION_ROUND,49
00-0041129,Jam Miller,RB,7,245,POSITION_ROUND,49
00-0041131,Carsen Ryan,TE,7,248,POSITION_ROUND,31
00-0040906,Garrett Nussmeier,QB,7,249,POSITION_ROUND,22
00-0041132,Deion Burks,WR,7,254,POSITION_ROUND,66
00-0041133,Dallen Bentley,TE,7,256,POSITION_ROUND,31
